"Condition
",Condition Category,Code,Code Description,Code System,Code System Version,Planned Update,NNC Code,Content Release
Acanthamoeba,Waterborne (not enteric),49649001,Infection caused by Acanthamoeba (disorder),SNOMEDCT,2024-09,,50225 Acanthamoeba disease (excluding keratitis),Previously released condition
Acute Flaccid Myelitis (AFM),Neurological Diseases,897031002,Acute flaccid myelitis (disorder),SNOMEDCT,2024-09,,11120 Acute flaccid myelitis,Previously released condition
Agricultural Chemicals (Fertilizer) Poisoning,Toxic Effect of Non-Medicinal Substances ,216809001,Accidental poisoning caused by fertilizers (disorder),SNOMEDCT,2024-09,,,Previously released condition
Alpha-gal Syndrome,Vectorborne Diseases,788781001,Delayed allergy to red meat (finding),SNOMEDCT,2024-09,,50269 Alpha-gal syndrome ,Previously released condition
Amebiasis,Enteric Diseases,388759003,Infection caused by Entamoeba histolytica (disorder),SNOMEDCT,2024-09,,,Previously released condition
Anaplasmosis,Vectorborne Diseases,13906002,Anaplasmosis (disorder),SNOMEDCT,2024-09,,11090 Anaplasma phagocytophilum,Previously released condition
Animal Bite Injury,"Injuries, NEC",399907009,Animal bite wound (disorder),SNOMEDCT,2024-09,,,Previously released condition
Anthrax,Zoonotic Diseases,409498004,Anthrax (disorder),SNOMEDCT,2024-09,,"10350 Anthrax; 10352 Anthrax, cutaneous; 10353 Anthrax, ingestion; 10354 Anthrax, inhalation; 10355 Anthrax, injection; 10356 Anthrax, welder’s ",Previously released condition
Arboviral Disease [Other],Vectorborne Diseases,40610006,Arbovirus infection (disorder),SNOMEDCT,2024-09,,"10072 Other Arboviral diseases, not otherwise specified; 50237 Flavivirus disease, not otherwise specified; 10055 Venezuelan equine encephalitis virus neuroinvasive disease; 10067 Venezuelan equine encephalitis virus non-neuroinvasive disease; 10074 Tick-borne Encephalitis viruses; 50290 Non-congenital Oropouche virus disease; 50291 Congenital Oropouche virus disease; 11643 Rift Valley fever virus",Previously released condition
Arsenic Exposure and Toxicity,Toxic Effect of Non-Medicinal Substances ,767146004,Toxic effect of arsenic and/or arsenic compound (disorder),SNOMEDCT,2024-09,,,Previously released condition
Asbestosis,Respiratory Conditions (non-infectious),22607003,Asbestosis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Babesiosis,Vectorborne Diseases,21061004,Babesiosis (disorder),SNOMEDCT,2024-09,,12010 Babesiosis,Previously released condition
Balamuthia mandrillaris Disease,Waterborne (not enteric),115635005,Balamuthia mandrillaris (organism),SNOMEDCT,2024-09,,50226 Balamuthia mandrillaris disease,Previously released condition
Blastomycosis,Respiratory Conditions (infectious),69996000,Blastomycosis (disorder),SNOMEDCT,2024-09,,11910 Blastomycosis,Previously released condition
Botulism,Toxic Effect of Non-Medicinal Substances ,398565003,Infection caused by Clostridium botulinum (disorder),SNOMEDCT,2024-09,,"10530 Botulism, foodborne; 10550 Botulism, other (includes wound); 10548 Botulism, other unspecified; 10549 Botulism, wound",Previously released condition
"Botulism, Infant",Toxic Effect of Non-Medicinal Substances ,414488002,Infantile botulism (disorder),SNOMEDCT,2024-09,,"10540 Botulism, infant",Previously released condition
Brucellosis,Zoonotic Diseases,75702008,Brucellosis (disorder),SNOMEDCT,2024-09,,10020 Brucellosis,Previously released condition
Byssinosis,Respiratory Conditions (non-infectious),85761009,Byssinosis (disorder),SNOMEDCT,2024-09,,,Previously released condition
Cadmium Exposure and Toxicity,Toxic Effect of Non-Medicinal Substances ,3398004,Cadmium poisoning (disorder),SNOMEDCT,2024-09,,,Previously released condition
California Serogroup Virus Disease,Vectorborne Diseases,418182000,Disease caused by California serogroup virus (disorder),SNOMEDCT,2024-09,,"10054 California serogroup virus diseases, neuroinvasive; 10061 California serogroup virus diseases, non-neuroinvasive; 11718 California encephalitis virus disease",Previously released condition
Campylobacteriosis,Enteric Diseases,86500004,Campylobacteriosis (disorder),SNOMEDCT,2024-09,,11020 Campylobacteriosis,Previously released condition
